iso3,country,year,female_emp_rate
KEN,Kenya,2010,68.939
NOR,Norway,2010,61.312
CHN,China,2010,61.17
CAN,Canada,2010,57.317
AUS,Australia,2010,55.519
BLR,Belarus,2010,54.773
SWE,Sweden,2010,53.963
DEU,Germany,2010,49.065
BRA,Brazil,2010,48.735
JPN,Japan,2010,46.115
