year,country,conflict_status,count,median,q1,q3,whisker_low,whisker_high
2020,Syria,Conflict,1.0,33.44051,33.44051,33.44051,33.44051,33.44051
2020,Ukraine,Conflict,1.0,16.34748,16.34748,16.34748,16.34748,16.34748
2021,Brazil,Conflict,1.0,5.22956,5.22956,5.22956,5.22956,5.22956
2021,Canada,Stable,1.0,4.77038,4.77038,4.77038,4.77038,4.77038
2021,Germany,Stable,1.0,1.46277,1.46277,1.46277,1.46277,1.46277
2021,Japan,Stable,1.0,0.03021,0.03021,0.03021,0.03021,0.03021
2021,Palestine,Conflict,1.0,8.2298,8.2298,8.2298,8.2298,8.2298
2021,Syria,Conflict,1.0,34.6112,34.6112,34.6112,34.6112,34.6112
2021,Ukraine,Conflict,1.0,15.87099,15.87099,15.87099,15.87099,15.87099
2022,Brazil,Conflict,1.0,3.98446,3.98446,3.98446,3.98446,3.98446
2022,Canada,Stable,1.0,5.25502,5.25502,5.25502,5.25502,5.25502
2022,Germany,Stable,1.0,1.9147,1.9147,1.9147,1.9147,1.9147
2022,Japan,Stable,1.0,0.09672,0.09672,0.09672,0.09672,0.09672
2022,Palestine,Conflict,1.0,9.50722,9.50722,9.50722,9.50722,9.50722
2022,Syria,Conflict,1.0,31.06999,31.06999,31.06999,31.06999,31.06999
2023,Germany,Stable,1.0,2.60674,2.60674,2.60674,2.60674,2.60674
2023,Palestine,Conflict,1.0,9.55693,9.55693,9.55693,9.55693,9.55693
2023,Syria,Conflict,1.0,26.33566,26.33566,26.33566,26.33566,26.33566
2024,Syria,Conflict,1.0,21.80503,21.80503,21.80503,21.80503,21.80503
